SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,DEPTH,RUNTIME,ENERGY,SLOWDOWN,SAVINGS
2493327,quest-energy,1,1,Low,128,qft,32,16,137.787,50270,0.1032227070739422,-0.16467264872050516
2493328,quest-energy,1,1,Medium,128,qft,32,16,129.454,44390,0.03650266223627857,-0.26237952808241943
2493329,quest-energy,1,1,Highm1,128,qft,32,16,129.36,47830,0.03575003002522133,-0.20521768029245596
2493330,quest-energy,1,1,High,128,qft,32,16,124.895,60180,0,0
2493359,quest-energy,1,1,Low,128,qft,33,16,281.661,110250,0.12111466248462581,-0.16591012256014526
2493360,quest-energy,1,1,Medium,128,qft,33,16,272.476,102790,0.08455497486397087,-0.22234831290664245
2493361,quest-energy,1,1,Highm1,128,qft,33,16,271.72,107680,0.08154581603531393,-0.1853533060977455
2493362,quest-energy,1,1,High,128,qft,33,16,251.233,132180,0,0
2493331,quest-energy,2,2,Low,128,qft,32,16,89.1556,63180,0.10798544485648687,-0.1788406550558877
2493332,quest-energy,2,2,Medium,128,qft,32,16,84.0826,65430.00000000001,0.04494049690305527,-0.149597088640499
2493333,quest-energy,2,2,Highm1,128,qft,32,16,84.43310000000001,63290,0.049296352266287764,-0.17741096958669092
2493334,quest-energy,2,2,High,128,qft,32,16,80.4664,76940,0,0
2493363,quest-energy,2,2,Low,128,qft,33,16,189.697,130300.00000000001,0.1218368372808185,-0.18296965136694246
2493364,quest-energy,2,2,Medium,128,qft,33,16,179.7,126760,0.06271622460746912,-0.2051667920742413
2493365,quest-energy,2,2,Highm1,128,qft,33,16,178.335,129840,0.054643839261953396,-0.18585402558314523
2493366,quest-energy,2,2,High,128,qft,33,16,169.095,159480,0,0
2493335,quest-energy,4,4,Low,128,qft,32,16,50.444900000000004,72260,0.10981332570649138,-0.18790739492020678
2493336,quest-energy,4,4,Medium,128,qft,32,16,47.4006,70330,0.04283718525526085,-0.20959766239604405
2493337,quest-energy,4,4,Highm1,128,qft,32,16,47.395300000000006,69030,0.04272058257339936,-0.22420768712070127
2493338,quest-energy,4,4,High,128,qft,32,16,45.4535,88980,0,0
2493367,quest-energy,4,4,Low,128,qft,33,16,103.903,140100,0.11413495119500669,-0.23875244512062596
2493368,quest-energy,4,4,Medium,128,qft,33,16,98.5377,143160,0.05660371288960093,-0.22212562486415996
2493369,quest-energy,4,4,Highm1,128,qft,33,16,95.1462,146180,0.0202372106040281,-0.20571614866333407
2493370,quest-energy,4,4,High,128,qft,33,16,93.2589,184040,0,0
2493400,quest-energy,4,4,Low,128,qft,34,16,216.139,293470,0.12152990379725828,-0.21082636405195365
2493402,quest-energy,4,4,Medium,128,qft,34,16,204.692,293980,0.06213223466412073,-0.20945491704090138
